State,City,Name,Language,Time(IST),Type,Price,Capacity,Booked
Punjab,Moga,NeelamNovaCinemazMoga,Punjabi,09:20,Gold,160₹,122,0
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,10:00,Platinum,180₹,91,18
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,10:00,Gold,130₹,39,0
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,10:00,Silver,100₹,32,0
Punjab,TalwandiBhai,FunCineplexTalwandiBhai,Punjabi,10:10,Royal,90₹,91,78
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,10:45,Recliner,200₹,19,11
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,10:45,Gold,150₹,148,22
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,10:45,Silver,150₹,38,0
Punjab,Tanda,CarnivalLakhiCinemaGurdaspurRoad,Punjabi,11:00,Gold,150₹,88,1
Punjab,Tanda,CarnivalLakhiCinemaGurdaspurRoad,Punjabi,11:00,Silver,110₹,51,0
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,12:35,Platinum,180₹,91,18
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,12:35,Gold,130₹,39,0
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,12:35,Silver,100₹,32,0
Punjab,TalwandiBhai,FunCineplexTalwandiBhai,Punjabi,12:45,Royal,130₹,91,78
Haryana,Hisar,MirajCinemasHisar,Punjabi,12:50,Executive,170₹,82,0
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,13:15,Recliner,200₹,19,11
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,13:15,Gold,150₹,148,22
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,13:15,Silver,150₹,38,0
Haryana,Sonipat,MirajCinemaSonipat,Punjabi,13:20,Prime,150₹,20,0
Haryana,Sonipat,MirajCinemaSonipat,Punjabi,13:20,Executive,130₹,235,0
Punjab,Tanda,CarnivalLakhiCinemaGurdaspurRoad,Punjabi,14:15,Gold,150₹,88,0
Punjab,Tanda,CarnivalLakhiCinemaGurdaspurRoad,Punjabi,14:15,Silver,110₹,51,0
Punjab,Hoshiarpur,MirajCinemasJsEminentMallHoshiarpur,Punjabi,14:55,Special,100₹,34,0
Punjab,Hoshiarpur,MirajCinemasJsEminentMallHoshiarpur,Punjabi,14:55,Executive,100₹,101,2
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,15:15,Platinum,180₹,91,18
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,15:15,Gold,130₹,39,0
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,15:15,Silver,100₹,32,0
Punjab,Tanda,CarnivalLakhiCinemaGurdaspurRoad,Punjabi,16:50,Gold,150₹,88,0
Punjab,Tanda,CarnivalLakhiCinemaGurdaspurRoad,Punjabi,16:50,Silver,110₹,51,0
Punjab,TalwandiBhai,FunCineplexTalwandiBhai,Punjabi,18:00,Royal,130₹,91,78
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,18:00,Recliner,200₹,19,11
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,18:00,Gold,150₹,148,22
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,18:00,Silver,150₹,38,0
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,18:05,Platinum,180₹,91,18
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,18:05,Gold,130₹,39,0
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,18:05,Silver,100₹,32,0
Punjab,Tanda,CarnivalLakhiCinemaGurdaspurRoad,Punjabi,20:00,Gold,150₹,88,0
Punjab,Tanda,CarnivalLakhiCinemaGurdaspurRoad,Punjabi,20:00,Silver,110₹,51,0
Punjab,TalwandiBhai,FunCineplexTalwandiBhai,Punjabi,20:30,Royal,130₹,91,78
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,20:30,Recliner,200₹,19,11
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,20:30,Gold,150₹,148,22
Punjab,Ludhiana,CarnivalNirmalLudhiana,Punjabi,20:30,Silver,150₹,38,0
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,20:40,Platinum,180₹,98,18
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,20:40,Gold,130₹,39,0
Haryana,Kurukshetra,CarnivalKessalMallSector17,Punjabi,20:40,Silver,100₹,32,0
Punjab,Bathinda,FunPlazaKotkapura,Punjabi,21:00,Royal,170₹,94,83
